10-23 14:19:27: Training starting...
10-23 14:19:28: New best reward -8.1 (-100.0%) at episode 0, saving model...
10-23 14:19:28: New best reward -7.5 (-7.4%) at episode 1, saving model...
10-23 14:19:28: New best reward -6.9 (-8.0%) at episode 5, saving model...
10-23 14:19:28: New best reward -4.5 (-34.8%) at episode 6, saving model...
10-23 14:19:28: New best reward -0.3 (-93.3%) at episode 26, saving model...
10-23 14:19:41: New best reward 0.9 (-400.0%) at episode 2036, saving model...
10-23 14:19:42: New best reward 2.1 (+133.3%) at episode 2225, saving model...
10-23 14:19:50: New best reward 3.9 (+85.7%) at episode 3254, saving model...
10-23 14:20:52: New best reward 4.1 (+5.1%) at episode 9915, saving model...
10-23 14:20:55: New best reward 4.7 (+14.6%) at episode 10178, saving model...
10-23 14:21:00: New best reward 6.0 (+27.7%) at episode 10569, saving model...
10-23 14:21:28: New best reward 8.4 (+40.0%) at episode 13103, saving model...
10-23 14:23:13: New best reward 8.5 (+1.2%) at episode 20902, saving model...
10-23 14:24:04: New best reward 10.6 (+24.7%) at episode 24304, saving model...
10-23 14:36:14: New best reward 11.3 (+6.6%) at episode 54622, saving model...
10-23 14:40:55: New best reward 12.9 (+14.2%) at episode 61861, saving model...
10-23 14:43:26: New best reward 15.6 (+20.9%) at episode 65430, saving model...
10-23 14:48:02: New best reward 17.9 (+14.7%) at episode 71775, saving model...
10-23 14:50:22: New best reward 22.4 (+25.1%) at episode 75358, saving model...
10-23 14:51:16: New best reward 31.9 (+42.4%) at episode 76694, saving model...
10-23 15:00:35: New best reward 36.4 (+14.1%) at episode 89671, saving model...
10-23 15:04:50: New best reward 41.2 (+13.2%) at episode 94963, saving model...
10-23 15:22:02: New best reward 41.6 (+1.0%) at episode 114144, saving model...
10-23 15:30:58: New best reward 48.2 (+15.9%) at episode 122447, saving model...
10-23 15:59:12: New best reward 50.8 (+5.4%) at episode 148287, saving model...
10-23 16:00:44: New best reward 51.1 (+0.6%) at episode 149840, saving model...
10-23 16:26:07: New best reward 65.3 (+27.8%) at episode 174203, saving model...
10-23 17:02:32: New best reward 65.5 (+0.3%) at episode 215232, saving model...
10-23 17:02:53: New best reward 82.9 (+26.6%) at episode 215832, saving model...
10-23 18:14:16: New best reward 88.4 (+6.6%) at episode 312725, saving model...
