10-23 16:15:26: Training starting...
10-23 16:15:28: New best reward -8.1 (-100.0%) at episode 0, saving model...
10-23 16:15:28: New best reward -5.7 (-29.6%) at episode 2, saving model...
10-23 16:15:28: New best reward -5.1 (-10.5%) at episode 62, saving model...
10-23 16:15:28: New best reward -3.3 (-35.3%) at episode 69, saving model...
10-23 16:15:31: New best reward -1.5 (-54.5%) at episode 394, saving model...
10-23 16:15:42: New best reward 2.1 (-240.0%) at episode 1233, saving model...
10-23 16:15:50: New best reward 2.7 (+28.6%) at episode 1723, saving model...
10-23 16:16:24: New best reward 3.9 (+44.4%) at episode 3979, saving model...
10-23 16:17:53: New best reward 4.6 (+17.9%) at episode 7307, saving model...
10-23 16:18:43: New best reward 4.7 (+2.2%) at episode 8948, saving model...
10-23 16:20:14: New best reward 6.1 (+29.8%) at episode 11910, saving model...
10-23 16:22:46: New best reward 6.7 (+9.8%) at episode 16812, saving model...
10-23 16:24:44: New best reward 8.4 (+25.4%) at episode 20424, saving model...
10-23 16:26:30: New best reward 9.3 (+10.7%) at episode 23762, saving model...
10-23 16:28:10: New best reward 11.0 (+18.3%) at episode 26774, saving model...
10-23 16:31:15: New best reward 13.0 (+18.2%) at episode 32664, saving model...
10-23 16:36:44: New best reward 13.6 (+4.6%) at episode 42080, saving model...
